hugo_symbol	n.x	status	n.y	perc
ABCA12	1	M	12	8.333333333333332
ADAM15	1	M	7	14.285714285714285
ADAMTS19	1	M	3	33.33333333333333
ADGRL2	1	M	9	11.11111111111111
AHNAK	1	M	32	3.125
ALDH3B2	1	M	1	100
ANKRD11	1	M	19	5.263157894736842
AOX1	1	M	3	33.33333333333333
ARAP2	1	M	9	11.11111111111111
ARHGAP11A	1	M	7	14.285714285714285
ARHGAP18	1	M	4	25
ARHGEF19	1	M	6	16.666666666666664
ARID1B	1	M	10	10
ART3	2	M	4	50
ATAT1	1	M	3	33.33333333333333
ATF6B	1	M	7	14.285714285714285
ATM	1	M	28	3.571428571428571
ATP2A3	1	M	5	20
ATP5SL	1	M	2	50
C14orf39	1	M	2	50
C15orf39	1	M	9	11.11111111111111
C2CD2L	1	M	4	25
CACNA1E	1	M	14	7.142857142857142
CAMTA2	1	M	8	12.5
CBX4	1	M	4	25
CCDC167	1	M	3	33.33333333333333
CCDC57	1	M	3	33.33333333333333
CCDC88A	1	M	13	7.6923076923076925
CCNC	1	M	1	100
CCR8	1	M	3	33.33333333333333
CCT3	1	M	6	16.666666666666664
CDH12	1	M	7	14.285714285714285
CDS1	1	M	3	33.33333333333333
CECR2	1	M	6	16.666666666666664
CFAP70	1	M	7	14.285714285714285
CHD6	1	M	21	4.761904761904762
CHD7	1	M	22	4.545454545454546
CILP2	1	M	6	16.666666666666664
CLDN15	1	M	2	50
COL11A1	1	M	21	4.761904761904762
COL14A1	1	M	13	7.6923076923076925
COL7A1	1	M	18	5.555555555555555
COPS2	1	M	5	20
COQ3	1	M	5	20
CPT1A	1	M	5	20
CRAT	1	M	6	16.666666666666664
CSPG4	2	M	9	22.22222222222222
CUL9	1	M	14	7.142857142857142
CXorf65	1	M	1	100
DCAF11	1	M	3	33.33333333333333
DHRS7C	1	M	2	50
DICER1	2	M	10	20
DKKL1	1	M	2	50
DMBT1	1	M	10	10
DMD	1	M	18	5.555555555555555
DMXL2	1	M	26	3.8461538461538463
DNAJB8	1	M	3	33.33333333333333
DNMBP	1	M	8	12.5
DSC2	1	M	4	25
DSEL	1	M	7	14.285714285714285
DUS3L	1	M	3	33.33333333333333
DUSP27	1	M	7	14.285714285714285
EEF2	1	M	7	14.285714285714285
EFTUD1	1	M	3	33.33333333333333
EGR3	1	M	5	20
EIF3A	1	M	9	11.11111111111111
EPB41L3	2	M	6	33.33333333333333
EPC1	1	M	6	16.666666666666664
EPHA1	1	M	6	16.666666666666664
EWSR1	1	M	2	50
F11R	1	M	5	20
FAM105A	1	M	3	33.33333333333333
FAM118A	1	M	2	50
FAM161A	1	M	7	14.285714285714285
FCRL3	1	M	6	16.666666666666664
FER	1	M	5	20
FGB	1	M	2	50
FOCAD	1	M	9	11.11111111111111
FOXK2	1	M	5	20
FREM1	2	M	13	15.384615384615385
FREM2	1	M	23	4.3478260869565215
FZD7	1	M	6	16.666666666666664
GAPVD1	1	M	6	16.666666666666664
GCDH	1	M	4	25
GCFC2	1	M	4	25
GCKR	1	M	7	14.285714285714285
GDPD2	1	M	1	100
GIT2	1	M	7	14.285714285714285
GJA8	1	M	2	50
GLI1	1	M	8	12.5
GLMN	1	M	2	50
GLYR1	1	M	3	33.33333333333333
GNMT	1	M	3	33.33333333333333
GRM7	1	M	11	9.090909090909092
GRTP1	1	M	3	33.33333333333333
GSE1	1	M	6	16.666666666666664
HAO1	1	M	2	50
HCK	1	M	7	14.285714285714285
HENMT1	1	M	2	50
HERC1	1	M	16	6.25
HKDC1	1	M	7	14.285714285714285
HLA-F	1	M	3	33.33333333333333
HSF4	1	M	3	33.33333333333333
HSPA6	1	M	5	20
IGSF9B	1	M	16	6.25
IMPACT	1	M	3	33.33333333333333
ING2	2	M	3	66.66666666666666
IPO5	1	M	7	14.285714285714285
ITGA6	1	M	5	20
JMJD1C	1	M	11	9.090909090909092
JSRP1	1	M	3	33.33333333333333
KBTBD4	1	M	3	33.33333333333333
KCNA2	1	M	1	100
KCNA5	1	M	8	12.5
KCNH3	1	M	7	14.285714285714285
KCNH5	1	M	6	16.666666666666664
KCNQ4	1	M	1	100
KCTD13	1	M	2	50
KIAA0586	1	M	3	33.33333333333333
KIAA1109	1	M	23	4.3478260869565215
KIAA1598	1	M	2	50
KIF1A	1	M	10	10
KLHL13	1	M	4	25
KLHL22	1	M	2	50
KLHL4	1	M	3	33.33333333333333
KMT2C	1	M	26	3.8461538461538463
KPNA2	1	M	4	25
KRT27	1	M	2	50
LDLRAD2	1	M	2	50
LIMCH1	1	M	5	20
LIN7A	1	M	2	50
LINGO1	1	M	2	50
LPCAT3	1	M	6	16.666666666666664
LRR1	1	M	2	50
LRRC14	1	M	1	100
LTB4R2	1	M	3	33.33333333333333
LY6K	1	M	1	100
LYZL2	1	M	2	50
MACF1	1	M	37	2.7027027027027026
MANBAL	1	M	2	50
MAP3K14	1	M	4	25
MAP3K5	1	M	11	9.090909090909092
MAST4	1	M	10	10
MATN3	1	M	2	50
MCC	1	M	7	14.285714285714285
MCF2	1	M	5	20
MDN1	1	M	23	4.3478260869565215
METAP1	1	M	2	50
MMP9	1	M	5	20
MREG	1	M	3	33.33333333333333
MTHFD2	1	M	3	33.33333333333333
MUC5B	1	M	20	5
MYL12A	1	M	2	50
NAV3	1	M	20	5
NBEAL2	1	M	5	20
NFKB2	1	M	3	33.33333333333333
NLRP8	1	M	11	9.090909090909092
NOTCH4	1	M	8	12.5
NPAP1	1	M	8	12.5
NPY1R	1	M	3	33.33333333333333
NRXN1	1	M	12	8.333333333333332
NRXN2	1	M	8	12.5
OCA2	1	M	14	7.142857142857142
OIP5	1	M	4	25
OR10G2	1	M	1	100
OR14I1	1	M	3	33.33333333333333
OR1S1	1	M	3	33.33333333333333
OR52B2	1	M	2	50
OTOP3	1	M	1	100
PALMD	1	M	4	25
PASK	1	M	4	25
PCNX	1	M	9	11.11111111111111
PDCD11	1	M	8	12.5
PDE4A	1	M	8	12.5
PHF6	1	M	3	33.33333333333333
PLEC	1	M	20	5
PLK1	1	M	4	25
PLXNA1	1	M	7	14.285714285714285
POLR3A	1	M	9	11.11111111111111
PPIL4	1	M	6	16.666666666666664
PPP1R16B	1	M	2	50
PPP2R3C	1	M	5	20
PRPH2	1	M	3	33.33333333333333
PRR14L	1	M	2	50
PRRC2A	1	M	13	7.6923076923076925
PRRT3	1	M	7	14.285714285714285
PTGER4	1	M	2	50
PTK2B	1	M	8	12.5
PTPRC	1	M	6	16.666666666666664
RALGPS1	1	M	5	20
RAPGEF3	1	M	4	25
REV3L	1	M	16	6.25
RNF123	1	M	9	11.11111111111111
RNF213	2	M	19	10.526315789473683
RNMT	1	M	3	33.33333333333333
RUFY1	1	M	2	50
SCFD1	1	M	6	16.666666666666664
SEC14L2	1	M	3	33.33333333333333
SEC31A	1	M	7	14.285714285714285
SENP5	1	M	5	20
SGSM3	1	M	3	33.33333333333333
SIGLEC11	1	M	6	16.666666666666664
SLC10A7	1	M	2	50
SLC18A3	1	M	7	14.285714285714285
SLC6A15	1	M	7	14.285714285714285
SLC6A20	1	M	4	25
SLCO1A2	1	M	5	20
SLITRK1	1	M	6	16.666666666666664
SMG8	1	M	5	20
SMURF2	1	M	4	25
SNX31	1	M	5	20
SPG11	1	M	9	11.11111111111111
STK32A	1	M	2	50
STPG2	1	M	2	50
STX6	1	M	1	100
SULF1	1	M	5	20
SUV420H1	1	M	12	8.333333333333332
SYNE2	2	M	31	6.451612903225806
TBC1D1	1	M	17	5.88235294117647
TBCD	1	M	10	10
TBCE	1	M	7	14.285714285714285
TCF20	1	M	7	14.285714285714285
TENM1	2	M	13	15.384615384615385
THEMIS	2	M	7	28.57142857142857
THOC1	1	M	3	33.33333333333333
THRB	1	M	2	50
TINAG	1	M	4	25
TLR4	1	M	4	25
TLR6	1	M	6	16.666666666666664
TMC5	1	M	5	20
TMEM56	1	M	3	33.33333333333333
TOP3A	1	M	11	9.090909090909092
TOX4	1	M	2	50
TRAM1L1	1	M	4	25
TRAV23DV6	1	M	2	50
TRIO	1	M	19	5.263157894736842
TTC17	1	M	7	14.285714285714285
TTC30A	1	M	4	25
TTN	2	M	123	1.6260162601626018
TULP4	1	M	12	8.333333333333332
TXNRD1	1	M	4	25
UBE2Q1	1	M	1	100
UGGT2	1	M	8	12.5
UGT8	1	M	5	20
UNC13B	1	M	10	10
UNC50	1	M	2	50
USP15	1	M	11	9.090909090909092
USP26	1	M	5	20
USP35	1	M	4	25
USP6	1	M	7	14.285714285714285
UTS2	1	M	1	100
VASP	1	M	2	50
VPS13A	1	M	6	16.666666666666664
WNK2	1	M	5	20
WRAP53	1	M	3	33.33333333333333
XRN1	1	M	6	16.666666666666664
XXbac-BPG116M5.17	2	M	6	33.33333333333333
YIPF7	1	M	1	100
ZFR	1	M	2	50
ZFYVE19	1	M	6	16.666666666666664
ZFYVE26	1	M	15	6.666666666666667
ZNF165	1	M	2	50
ZNF200	1	M	2	50
ZNF354A	1	M	7	14.285714285714285
ZNF394	1	M	7	14.285714285714285
ZNF674	1	M	2	50
ZNF678	1	M	3	33.33333333333333
ZNF777	1	M	10	10
ZNF793	1	M	3	33.33333333333333
ACHE	1	M	6	16.666666666666664
ADGRG5	1	M	6	16.666666666666664
ALDH1A2	1	M	7	14.285714285714285
ANKRD30A	1	M	7	14.285714285714285
ARHGEF25	2	M	4	50
ARHGEF4	1	M	3	33.33333333333333
ART1	1	M	4	25
ASCC3	1	M	14	7.142857142857142
ATP8B2	1	M	6	16.666666666666664
BAK1	1	M	1	100
C12orf5	1	M	2	50
C19orf43	1	M	1	100
C3AR1	1	M	4	25
CCIN	1	M	4	25
CDC5L	1	M	3	33.33333333333333
CDK15	1	M	8	12.5
CENPE	1	M	11	9.090909090909092
CHD5	1	M	14	7.142857142857142
CHRND	1	M	6	16.666666666666664
CNTN5	1	M	5	20
COL4A4	1	M	3	33.33333333333333
COL5A2	1	M	11	9.090909090909092
CYP2A6	1	M	2	50
DCAF4L2	1	M	4	25
DCAF5	1	M	3	33.33333333333333
DCAF8L1	1	M	9	11.11111111111111
DDHD1	1	M	5	20
DLGAP5	1	M	5	20
DNAH7	1	M	22	4.545454545454546
DOPEY1	1	M	13	7.6923076923076925
DOPEY2	1	M	14	7.142857142857142
DPYSL5	1	M	1	100
EIF2AK3	1	M	5	20
ERBB2	1	M	34	2.941176470588235
ERC1	1	M	3	33.33333333333333
ERCC6	1	M	8	12.5
EYA1	1	M	3	33.33333333333333
FAM110C	1	M	3	33.33333333333333
FAR2	2	M	3	66.66666666666666
FOLR3	1	M	3	33.33333333333333
FOXL1	1	M	4	25
FREM1	1	M	13	7.6923076923076925
FXYD6	1	M	1	100
GEN1	1	M	4	25
GRM7	1	M	11	9.090909090909092
GUCY1A2	1	M	7	14.285714285714285
HEPH	1	M	8	12.5
HIST1H2AB	1	M	1	100
HOMEZ	1	M	6	16.666666666666664
HRH3	1	M	5	20
HTATSF1	1	M	6	16.666666666666664
IMMT	1	M	8	12.5
ITGB3	1	M	5	20
KCNQ5	1	M	11	9.090909090909092
KCNV2	1	M	3	33.33333333333333
KHDC1	1	M	2	50
KIAA1407	1	M	4	25
KIF4A	1	M	4	25
LMTK2	1	M	12	8.333333333333332
LTBP1	1	M	10	10
MDGA2	1	M	10	10
MED12	1	M	12	8.333333333333332
MED24	1	M	6	16.666666666666664
MRPS6	1	M	2	50
MYC	1	M	3	33.33333333333333
MYH15	1	M	10	10
MYO1E	1	M	6	16.666666666666664
NARS2	1	M	4	25
NDC80	1	M	12	8.333333333333332
NDUFV1	1	M	3	33.33333333333333
NKX2-2	1	M	5	20
NOP14	1	M	3	33.33333333333333
NPHP4	1	M	8	12.5
NRROS	1	M	3	33.33333333333333
OCA2	1	M	14	7.142857142857142
OGFRL1	1	M	6	16.666666666666664
OR4P4	1	M	7	14.285714285714285
PCLO	1	M	30	3.3333333333333335
PCNXL4	1	M	9	11.11111111111111
PDCD11	1	M	8	12.5
PIGM	1	M	2	50
PITPNC1	1	M	2	50
PLA2R1	1	M	7	14.285714285714285
PLEK2	1	M	2	50
PNLIPRP2	1	M	4	25
POLE	2	M	17	11.76470588235294
POM121L12	1	M	7	14.285714285714285
POTEG	1	M	2	50
PRKCD	1	M	7	14.285714285714285
PRX	1	M	8	12.5
RABGAP1	1	M	3	33.33333333333333
RBFOX1	1	M	3	33.33333333333333
RIMBP2	1	M	9	11.11111111111111
ROR2	1	M	10	10
RPF1	1	M	2	50
RUNX3	1	M	1	100
RYR2	1	M	43	2.3255813953488373
SEC14L3	1	M	2	50
SH3GL1	1	M	6	16.666666666666664
SH3PXD2B	1	M	5	20
SLC32A1	1	M	11	9.090909090909092
SLC41A3	1	M	2	50
SPACA7	1	M	3	33.33333333333333
SPATA31A1	1	M	7	14.285714285714285
SPEF2	1	M	8	12.5
SRGAP3	1	M	6	16.666666666666664
SVEP1	1	M	14	7.142857142857142
TECPR2	1	M	5	20
TERF2IP	1	M	5	20
THRB	1	M	2	50
TNPO2	1	M	4	25
TP53	1	M	95	1.0526315789473684
TRIB3	1	M	3	33.33333333333333
TUBA3D	1	M	3	33.33333333333333
UGT2B17	1	M	4	25
ZC3H7B	1	M	3	33.33333333333333
ZCCHC14	1	M	6	16.666666666666664
ZFHX4	1	M	30	3.3333333333333335
ZNF479	1	M	7	14.285714285714285
ZNF676	1	M	3	33.33333333333333
ABCC10	1	M	4	25
ACAP3	1	M	2	50
AFF4	1	M	10	10
AKAP6	1	M	16	6.25
AP5Z1	1	M	4	25
ASPHD1	1	M	2	50
BCL11B	1	M	6	16.666666666666664
CCDC144A	1	M	5	20
CD1D	1	M	6	16.666666666666664
DEFB116	1	M	1	100
DNAH3	1	M	28	3.571428571428571
ERBB4	1	M	7	14.285714285714285
FAT4	1	M	26	3.8461538461538463
FCHO1	1	M	10	10
FGFR3	1	M	45	2.2222222222222223
FMNL1	1	M	6	16.666666666666664
GNAS	1	M	6	16.666666666666664
H3F3A	1	M	2	50
HIF1A	1	M	5	20
KBTBD4	1	M	3	33.33333333333333
KPNB1	1	M	7	14.285714285714285
KRIT1	1	M	5	20
LLGL2	1	M	6	16.666666666666664
LRRC4	1	M	3	33.33333333333333
LSM14A	1	M	2	50
ME3	1	M	5	20
MLXIP	1	M	5	20
MPRIP	1	M	4	25
MYOZ2	1	M	4	25
NPHP3	1	M	7	14.285714285714285
PCDHA7	1	M	7	14.285714285714285
PCDHGA7	1	M	5	20
PLEKHG6	1	M	5	20
PPARG	1	M	15	6.666666666666667
PUSL1	1	M	2	50
RBM25	1	M	4	25
ROS1	1	M	11	9.090909090909092
RPTOR	1	M	7	14.285714285714285
RXRA	1	M	16	6.25
SHC1	1	M	6	16.666666666666664
SIGLEC8	1	M	3	33.33333333333333
SLC22A2	1	M	4	25
SMARCD2	1	M	3	33.33333333333333
ST5	1	M	1	100
STT3B	1	M	3	33.33333333333333
SYNE1	1	M	49	2.0408163265306123
TCEB3	1	M	1	100
TMEM165	1	M	1	100
TMEM67	1	M	4	25
TPPP2	1	M	2	50
TTN	2	M	123	1.6260162601626018
TXNDC16	1	M	12	8.333333333333332
UACA	1	M	6	16.666666666666664
UGT3A2	1	M	7	14.285714285714285
UPF2	1	M	8	12.5
VIM	1	M	7	14.285714285714285
VSIG4	1	M	2	50
WDR36	1	M	9	11.11111111111111
WDR37	1	M	5	20
ZBED9	1	M	8	12.5
ZNF227	1	M	4	25
ZNF511	1	M	2	50
ABCB6	1	M	4	25
ACAD9	1	M	4	25
ACSM2B	1	M	5	20
ADAMTS13	1	M	5	20
AFP	1	M	3	33.33333333333333
AFTPH	1	M	7	14.285714285714285
AGAP2	1	M	7	14.285714285714285
AGT	1	M	5	20
AGTPBP1	1	M	3	33.33333333333333
AHI1	1	M	4	25
AHNAK	1	M	32	3.125
AKAP1	1	M	6	16.666666666666664
AKAP9	1	M	27	3.7037037037037033
ALDH1A3	1	M	2	50
AMMECR1L	1	M	3	33.33333333333333
AMZ2	1	M	3	33.33333333333333
ANK1	1	M	12	8.333333333333332
ANO1	1	M	10	10
APBB1IP	1	M	5	20
ARV1	1	M	2	50
ASH1L	1	M	18	5.555555555555555
ATAD2	1	M	11	9.090909090909092
ATF7	1	M	3	33.33333333333333
ATF7IP	1	M	8	12.5
ATP13A3	1	M	9	11.11111111111111
ATP2B4	1	M	9	11.11111111111111
ATP8B4	1	M	5	20
AZIN2	1	M	3	33.33333333333333
B3GALT2	1	M	3	33.33333333333333
BAG3	1	M	2	50
BAZ2A	1	M	6	16.666666666666664
BCAT2	1	M	3	33.33333333333333
BCKDK	1	M	1	100
BIRC6	1	M	25	4
C1orf110	1	M	5	20
C2orf68	1	M	2	50
CACNA1A	1	M	14	7.142857142857142
CAMSAP1	1	M	8	12.5
CCDC150	1	M	5	20
CD79A	1	M	1	100
CDH4	2	M	11	18.181818181818183
CDHR5	4	M	9	44.44444444444444
CEP104	1	M	10	10
CHD2	1	M	7	14.285714285714285
CHD6	1	M	21	4.761904761904762
CHD7	1	M	22	4.545454545454546
CHPT1	1	M	3	33.33333333333333
CHRD	1	M	6	16.666666666666664
CHRNB1	1	M	4	25
CIDEA	1	M	3	33.33333333333333
CIITA	1	M	11	9.090909090909092
CKAP5	1	M	13	7.6923076923076925
CLCN2	1	M	5	20
CNR2	1	M	3	33.33333333333333
CPSF4	1	M	3	33.33333333333333
CSNK1E	1	M	4	25
CXXC1	1	M	7	14.285714285714285
DBNDD1	1	M	1	100
DDI1	1	M	6	16.666666666666664
DDX17	1	M	3	33.33333333333333
DOT1L	1	M	13	7.6923076923076925
DPY30	1	M	1	100
EFCAB5	1	M	9	11.11111111111111
EFCAB6	1	M	9	11.11111111111111
EIF2AK4	1	M	10	10
ELMOD2	1	M	2	50
EME1	3	M	2	150
ENDOU	1	M	4	25
EPC2	1	M	3	33.33333333333333
EPS8L2	1	M	5	20
ERBB2	1	M	34	2.941176470588235
ETNPPL	1	M	3	33.33333333333333
EXOC4	1	M	8	12.5
FAM102A	1	M	3	33.33333333333333
FAM129A	1	M	6	16.666666666666664
FAM216A	1	M	4	25
FAM49A	1	M	5	20
FANCD2	1	M	9	11.11111111111111
FANK1	1	M	4	25
FASN	1	M	9	11.11111111111111
FGFR3	1	M	45	2.2222222222222223
FIGLA	1	M	2	50
FLRT2	1	M	9	11.11111111111111
FLT4	1	M	14	7.142857142857142
FREM2	1	M	23	4.3478260869565215
FRS2	2	M	6	33.33333333333333
FSD2	1	M	7	14.285714285714285
FST	1	M	4	25
G2E3	1	M	3	33.33333333333333
GLI3	1	M	11	9.090909090909092
GLIS1	1	M	4	25
GLYATL2	1	M	4	25
GNAS	1	M	6	16.666666666666664
GON4L	1	M	13	7.6923076923076925
GPER1	1	M	4	25
GPR4	2	M	3	66.66666666666666
GRID1	1	M	11	9.090909090909092
GRIN2D	1	M	12	8.333333333333332
GTSE1	1	M	5	20
HCFC2	1	M	2	50
HGF	1	M	4	25
HIST1H1C	1	M	10	10
HLA-DRA	1	M	3	33.33333333333333
HMHA1	1	M	8	12.5
HMX2	1	M	3	33.33333333333333
HNF1A	1	M	7	14.285714285714285
HOPX	1	M	1	100
IGSF9	1	M	6	16.666666666666664
IGSF9B	1	M	16	6.25
INCA1	1	M	4	25
INHA	1	M	5	20
IRF3	1	M	4	25
KANK2	1	M	4	25
KCNA6	1	M	6	16.666666666666664
KCNQ5	1	M	11	9.090909090909092
KIAA1683	1	M	6	16.666666666666664
KIF13B	1	M	5	20
KIF9	1	M	3	33.33333333333333
KIRREL	1	M	6	16.666666666666664
KLHL2	1	M	3	33.33333333333333
KRT23	1	M	2	50
KRT71	1	M	6	16.666666666666664
LCAT	1	M	2	50
LIPH	1	M	4	25
LRRC8B	1	M	3	33.33333333333333
LZTFL1	1	M	2	50
MAB21L2	1	M	4	25
MACF1	3	M	37	8.108108108108109
MAGI1	1	M	10	10
MAPK8IP3	1	M	9	11.11111111111111
MAST1	1	M	8	12.5
MAT2A	1	M	3	33.33333333333333
MCOLN1	1	M	7	14.285714285714285
MED12L	1	M	13	7.6923076923076925
MLLT4	1	M	7	14.285714285714285
MMAA	1	M	4	25
MON2	2	M	6	33.33333333333333
MORC1	1	M	12	8.333333333333332
MUC16	1	M	74	1.3513513513513513
MYNN	1	M	5	20
MYO1D	1	M	6	16.666666666666664
MYO1E	1	M	6	16.666666666666664
MYO7B	1	M	10	10
NALCN	1	M	8	12.5
NAT9	1	M	4	25
NCAPD2	1	M	8	12.5
NFE2L1	1	M	4	25
NOD1	2	M	4	50
NOP56	1	M	6	16.666666666666664
NOTCH1	2	M	12	16.666666666666664
NOTCH3	2	M	5	40
NOX1	1	M	4	25
NSMAF	1	M	8	12.5
OBSCN	1	M	45	2.2222222222222223
OCEL1	1	M	1	100
OR2L3	1	M	4	25
OR4M1	1	M	6	16.666666666666664
OR7E24	1	M	3	33.33333333333333
OTX2	1	M	4	25
PAK1IP1	1	M	3	33.33333333333333
PARP8	1	M	10	10
PDK1	1	M	2	50
PGBD4	1	M	3	33.33333333333333
PIK3C3	1	M	6	16.666666666666664
PJA1	1	M	5	20
PKP4	1	M	6	16.666666666666664
PLA2G4F	1	M	6	16.666666666666664
PLXNB1	1	M	14	7.142857142857142
PNPLA5	1	M	1	100
POT1	1	M	8	12.5
PPM1E	1	M	6	16.666666666666664
PPP1R3A	1	M	9	11.11111111111111
PRAM1	1	M	2	50
PRH1	1	M	2	50
PRKAR1B	1	M	1	100
PRKCQ	1	M	3	33.33333333333333
PRKCSH	1	M	4	25
PRLR	1	M	2	50
PRPF19	1	M	4	25
PRPF4B	1	M	5	20
PRSS27	1	M	2	50
PRSS8	1	M	4	25
PRX	1	M	8	12.5
PSD2	1	M	7	14.285714285714285
PSORS1C1	1	M	3	33.33333333333333
PXYLP1	1	M	2	50
RASGRP2	1	M	2	50
RBM10	1	M	7	14.285714285714285
RBM34	1	M	3	33.33333333333333
RBSN	1	M	5	20
RCC2	1	M	2	50
RFX1	1	M	5	20
RIPK3	1	M	5	20
ROBO1	1	M	12	8.333333333333332
RP11-20I23.1	1	M	2	50
RP11-240B13.2	1	M	4	25
RTN4IP1	1	M	3	33.33333333333333
RYR2	1	M	43	2.3255813953488373
SACS	1	M	31	3.225806451612903
SART3	1	M	2	50
SBF1	1	M	9	11.11111111111111
SEC16B	1	M	5	20
SEMA4G	1	M	3	33.33333333333333
SESTD1	1	M	2	50
SETX	1	M	17	5.88235294117647
SGPP1	1	M	3	33.33333333333333
SHC3	1	M	2	50
SIGLEC1	1	M	9	11.11111111111111
SIL1	1	M	1	100
SIN3A	2	M	8	25
SKIV2L2	1	M	6	16.666666666666664
SLC18A2	1	M	4	25
SLC18A3	1	M	7	14.285714285714285
SLC25A16	1	M	2	50
SLC27A1	1	M	3	33.33333333333333
SLIT1	1	M	9	11.11111111111111
SMARCA2	1	M	21	4.761904761904762
SMC1A	1	M	9	11.11111111111111
SMPD4	1	M	7	14.285714285714285
SOHLH2	1	M	2	50
SORCS1	1	M	14	7.142857142857142
SOX7	1	M	2	50
SP2	1	M	2	50
SPAG5	1	M	6	16.666666666666664
SPATA4	1	M	6	16.666666666666664
SPTBN5	1	M	8	12.5
STAU1	1	M	5	20
STK19	1	M	3	33.33333333333333
STK35	1	M	4	25
SYCP2	1	M	9	11.11111111111111
SYK	1	M	6	16.666666666666664
SYNE1	1	M	49	2.0408163265306123
TAF9	2	M	2	100
TAGAP	1	M	4	25
TARBP1	1	M	7	14.285714285714285
TAS2R20	2	M	4	50
TBC1D32	1	M	2	50
TBC1D9	2	M	8	25
TENM3	1	M	28	3.571428571428571
TFB1M	1	M	4	25
TIAM2	1	M	15	6.666666666666667
TLR2	1	M	5	20
TMEM132E	1	M	7	14.285714285714285
TMEM209	1	M	4	25
TMEM87A	1	M	6	16.666666666666664
TRAJ57	1	M	1	100
TRAK1	1	M	5	20
TRAPPC10	1	M	6	16.666666666666664
TRPM2	1	M	12	8.333333333333332
TRPV5	1	M	5	20
TUBB2A	1	M	5	20
TXLNG	1	M	2	50
TYK2	1	M	11	9.090909090909092
UPF2	1	M	8	12.5
URB2	1	M	6	16.666666666666664
USP42	1	M	4	25
VAV1	1	M	4	25
WDR33	1	M	11	9.090909090909092
WHSC1	2	M	12	16.666666666666664
WNK2	1	M	5	20
XBP1	1	M	1	100
YEATS2	1	M	4	25
ZBED1	1	M	5	20
ZC3H4	1	M	7	14.285714285714285
ZCCHC8	1	M	5	20
ZNF207	1	M	5	20
ZNF277	1	M	8	12.5
ZNF33A	1	M	5	20
ZNF35	1	M	7	14.285714285714285
ZNF358	1	M	2	50
ZNF385D	1	M	7	14.285714285714285
ZNF429	1	M	3	33.33333333333333
ZNF430	1	M	5	20
ZNF493	3	M	4	75
ZNF557	1	M	4	25
ZNF565	1	M	4	25
ZNF638	1	M	15	6.666666666666667
ZNF710	1	M	6	16.666666666666664
ZNF761	1	M	7	14.285714285714285
ZNF780A	1	M	4	25
ZPR1	1	M	4	25
ZSCAN10	1	M	5	20
AAGAB	1	M	6	16.666666666666664
ABCA13	1	M	17	5.88235294117647
ABCB4	1	M	3	33.33333333333333
ACBD4	1	M	1	100
ACOT7	1	M	3	33.33333333333333
ADAM10	1	M	8	12.5
ADAM12	1	M	4	25
ADAMTSL3	1	M	9	11.11111111111111
ADAMTSL4	1	M	5	20
ADGRG7	1	M	4	25
ADGRL3	1	M	14	7.142857142857142
ADH7	1	M	3	33.33333333333333
ADRB1	1	M	4	25
AFAP1L2	1	M	5	20
AHNAK2	1	M	38	2.631578947368421
ALDH18A1	1	M	4	25
ALDH5A1	1	M	3	33.33333333333333
ALMS1	1	M	18	5.555555555555555
ALPK2	1	M	11	9.090909090909092
ANK3	1	M	28	3.571428571428571
ANKMY2	1	M	2	50
ANLN	1	M	7	14.285714285714285
ANPEP	1	M	5	20
ARHGAP21	1	M	10	10
ARMC5	1	M	5	20
ARPC5	1	M	4	25
ASXL1	1	M	7	14.285714285714285
ATP6V0A2	1	M	5	20
ATP8B4	1	M	5	20
AUTS2	1	M	11	9.090909090909092
BDP1	1	M	19	5.263157894736842
BEND3	1	M	7	14.285714285714285
BICC1	1	M	4	25
BIN3	1	M	1	100
BIRC2	1	M	3	33.33333333333333
BRAF	1	M	6	16.666666666666664
BRD9	1	M	3	33.33333333333333
BRMS1	1	M	3	33.33333333333333
BSN	1	M	17	5.88235294117647
BTAF1	1	M	11	9.090909090909092
BTBD7	1	M	6	16.666666666666664
BZRAP1	1	M	10	10
C12orf65	1	M	1	100
C16orf71	2	M	5	40
C1QTNF2	1	M	1	100
C20orf27	1	M	2	50
C6orf47	1	M	1	100
CA9	1	M	1	100
CACNA1A	1	M	14	7.142857142857142
CACNA1G	1	M	11	9.090909090909092
CADM1	1	M	4	25
CALCRL	1	M	7	14.285714285714285
CARM1	1	M	6	16.666666666666664
CBLL1	1	M	5	20
CCDC18	1	M	7	14.285714285714285
CCDC66	1	M	4	25
CCM2	1	M	4	25
CD2BP2	3	M	4	75
CD93	1	M	5	20
CDH11	1	M	12	8.333333333333332
CDH26	1	M	5	20
CDIPT	1	M	1	100
CDK4	1	M	3	33.33333333333333
CEP170	1	M	6	16.666666666666664
CFAP47	1	M	8	12.5
CFL1	1	M	2	50
CFTR	1	M	13	7.6923076923076925
CHCHD7	1	M	1	100
CHD1	1	M	6	16.666666666666664
CHMP7	1	M	6	16.666666666666664
CHPT1	1	M	3	33.33333333333333
CHRNB2	1	M	2	50
CHRNE	1	M	3	33.33333333333333
CLHC1	1	M	5	20
CLK1	1	M	5	20
CLMP	1	M	4	25
CNOT1	1	M	11	9.090909090909092
COL11A1	1	M	21	4.761904761904762
COL12A1	1	M	14	7.142857142857142
COL19A1	1	M	9	11.11111111111111
COQ10B	1	M	2	50
CORO1B	1	M	2	50
